time,ph,ntu,ntu3,ntu4,take,supply,pac
2013/8/12 9:00,6.884,19.658,0.586,0.545,4669,9470,NULL
2013/8/12 10:00,6.881,19.311,0.593,0.571,5438,9400,NULL
2013/8/12 11:00,6.881,22.203,0.694,0.615,10479,10330,NULL
2013/8/12 12:00,6.813,24.844,0.711,0.72,10921,10480,NULL
2013/8/12 13:00,6.813,17.337,0.781,0.716,11016,10140,NULL
2013/8/12 14:00,6.812,14.349,0.762,0.781,11135,9310,NULL
2013/8/12 15:00,6.812,15.478,0.791,0.833,11115,9260,NULL
2013/8/12 16:00,6.815,21.049,0.786,0.791,11130,9480,NULL
2013/8/12 17:00,6.821,16.339,0.842,0.816,11106,9620,NULL
2013/8/12 18:00,6.82,15.082,0.857,0.899,11089,10230,NULL
2013/8/12 19:00,6.821,17.845,0.869,0.891,11067,10390,NULL
2013/8/12 20:00,6.817,18.714,0.947,0.867,11050,10640,NULL
2013/8/12 21:00,6.813,20.97,1.006,0.906,10985,10490,NULL
2013/8/12 22:00,6.815,24.913,1.079,0.977,10977,10570,NULL
2013/8/12 23:00,6.823,24.152,1.248,1.101,10994,9990,NULL
2013/8/13 0:00,6.818,24.471,1.233,1.111,10894,8780,NULL
2013/8/13 1:00,6.819,223.395,1.287,1.324,10027,7840,NULL
2013/8/13 2:00,6.82,14.714,0.769,0.799,5524,7310,NULL
2013/8/13 3:00,6.821,14.309,0.603,0.706,5616,6700,NULL
2013/8/13 4:00,6.811,16.057,0.586,0.581,5602,6490,NULL
2013/8/13 5:00,6.811,13.31,0.552,0.564,5601,6440,NULL
2013/8/13 6:00,6.818,12.133,0.496,0.54,5594,6630,NULL
2013/8/13 7:00,6.812,11.659,0.53,0.523,9437,8420,NULL
2013/8/13 8:00,6.809,13.795,0.657,0.637,9530,9460,NULL
2013/8/13 9:00,6.806,32.017,0.679,0.65,10343,10100,NULL
2013/8/13 10:00,6.808,20.986,0.686,10,10976,10140,NULL
2013/8/13 11:00,6.805,23.315,0.789,0.745,10980,10050,NULL
2013/8/13 12:00,6.808,22.978,0.855,0.755,10971,9650,NULL
2013/8/13 13:00,6.812,26.073,0.772,0.781,10985,9230,NULL
2013/8/13 14:00,6.807,19.834,0.774,0.769,11043,8590,NULL
2013/8/13 15:00,6.808,13.161,0.711,0.716,9694,8240,NULL
2013/8/13 16:00,6.802,14.442,0.642,0.635,9597,8480,NULL
2013/8/13 17:00,6.805,13.38,0.623,0.625,9574,8630,NULL
2013/8/13 18:00,6.801,12.183,0.606,0.581,9580,8460,NULL
2013/8/13 19:00,6.801,11.891,0.654,0.623,9569,8710,NULL
2013/8/13 20:00,6.796,11.968,0.676,0.657,9527,8870,NULL
2013/8/13 21:00,6.801,15.35,0.662,0.657,9511,8830,NULL
2013/8/13 22:00,6.802,17.144,0.652,0.657,9478,8400,NULL
2013/8/13 23:00,6.796,18.243,0.567,0.611,7657,8290,NULL
2013/8/14 0:00,6.802,17.974,0.549,0.569,5500,7340,NULL
2013/8/14 1:00,6.802,17.956,0.488,0.527,5469,6480,NULL
2013/8/14 2:00,6.8,15.737,0.42,0.469,5547,6380,NULL
2013/8/14 3:00,6.799,14.805,0.369,0.427,5604,6120,NULL
2013/8/14 4:00,6.802,15.23,0.391,0.42,5597,5770,NULL
2013/8/14 5:00,6.802,15.224,0.418,0.462,5655,5990,NULL
2013/8/14 6:00,6.807,124.024,0.415,0.459,6041,6350,NULL
2013/8/14 7:00,6.811,13.819,0.43,0.454,9656,6840,NULL
2013/8/14 8:00,6.81,14.259,0.491,0.518,9612,7890,NULL
2013/8/14 9:00,6.802,12.914,0.552,0.537,9580,8310,NULL
2013/8/14 10:00,6.801,17.383,0.491,0.523,9560,8900,NULL
2013/8/14 11:00,6.797,20.678,0.557,0.562,9470,8610,NULL
2013/8/14 12:00,6.803,20.432,0.611,0.637,9500,8660,NULL
2013/8/14 13:00,6.8,20.493,0.586,0.632,9440,8190,NULL
2013/8/14 14:00,6.796,24.375,0.62,0.654,9520,7510,NULL
2013/8/14 15:00,6.803,20.576,0.632,0.669,9560,7550,NULL
2013/8/14 16:00,6.803,17.726,0.664,0.662,9620,7590,NULL
2013/8/14 17:00,6.796,11.931,0.618,0.618,5830,7730,NULL
2013/8/14 18:00,6.805,11.461,0.574,0.589,5590,8330,NULL
2013/8/14 19:00,6.81,12.966,0.501,0.545,5600,8410,NULL
2013/8/14 20:00,6.803,15.615,0.508,0.523,5580,8640,NULL
2013/8/14 21:00,6.805,17.992,0.52,0.53,9140,8130,NULL
2013/8/14 22:00,6.792,19.914,0.586,0.596,9560,8170,NULL
2013/8/14 23:00,6.803,22.815,0.598,0.62,9560,7630,NULL
2013/8/15 0:00,6.797,23.156,0.586,0.611,9460,7240,NULL
2013/8/15 1:00,6.801,26.653,0.601,0.611,9470,6460,NULL
2013/8/15 2:00,6.81,354.114,0.623,0.628,9240,5970,NULL
2013/8/15 3:00,6.8,16.398,0.579,0.581,5620,5940,NULL
2013/8/15 4:00,6.802,16.428,0.542,0.576,5670,5720,NULL
2013/8/15 5:00,6.798,16.487,0.518,0.559,5670,5800,NULL
2013/8/15 6:00,6.799,16.286,0.51,0.569,5630,6220,NULL
2013/8/15 7:00,6.807,14.099,0.474,0.518,5650,6990,NULL
2013/8/15 8:00,6.795,15.402,0.462,0.503,5630,7710,NULL
2013/8/15 9:00,6.803,20.805,0.447,0.476,7190,8270,NULL
2013/8/15 10:00,6.796,21.829,0.457,0.493,9620,5070,NULL
2013/8/15 11:00,6.796,26.965,0.581,0.584,9600,4020,NULL
2013/8/15 12:00,6.799,28.927,0.642,0.632,9570,3920,NULL
2013/8/15 13:00,6.802,27.426,0.623,0.647,9580,-16771686,NULL
2013/8/15 14:00,6.8,31.729,0.696,0.684,9580,7227,NULL
2013/8/15 15:00,6.799,35.188,0.73,0.73,9490,7368,NULL
2013/8/15 16:00,6.794,36.858,0.723,0.723,9540,7464,NULL
2013/8/15 17:00,6.788,34.27,0.75,0.735,9560,7697,NULL
2013/8/15 18:00,6.783,30.048,0.742,0.816,6370,8431,NULL
2013/8/15 19:00,6.788,29.932,0.642,0.662,5560,8410,NULL
2013/8/15 20:00,6.793,28.261,0.606,0.611,5580,8797,NULL
2013/8/15 21:00,6.786,32.231,0.54,0.606,7430,8464,NULL
2013/8/15 22:00,6.786,28.96,0.615,0.62,9530,8501,NULL
2013/8/15 23:00,6.784,28.28,0.845,0.899,9510,8151,NULL
2013/8/16 0:00,6.792,29.457,0.83,0.816,9540,7346,NULL
2013/8/16 1:00,6.787,31.725,0.813,0.842,9520,6340,NULL
2013/8/16 2:00,6.783,30.509,0.794,0.767,6070,6189,NULL
2013/8/16 3:00,6.782,29.77,0.791,0.772,5560,5704,NULL
2013/8/16 4:00,6.784,25.35,0.733,0.681,5560,5514,NULL
2013/8/16 5:00,6.787,20.839,0.733,0.623,5620,5675,NULL
2013/8/16 6:00,6.788,22.16,0.733,0.615,5610,5678,NULL
2013/8/16 7:00,6.78,21.351,0.72,0.618,5640,6076,NULL
2013/8/16 8:00,6.78,27.395,0.681,0.576,7010,7993,NULL
2013/8/16 9:00,6.787,25.566,0.757,0.591,9680,8182,NULL
2013/8/16 10:00,6.782,28.037,0.926,0.686,9670,8411,NULL
2013/8/16 11:00,6.782,34.314,1.006,0.767,9660,8201,NULL
2013/8/16 12:00,6.778,32.992,1.101,0.842,9620,8234,NULL
2013/8/16 13:00,6.776,36.068,1.026,0.784,9620,8179,NULL
2013/8/16 14:00,6.777,40.685,1.028,0.767,9540,7349,NULL
2013/8/16 15:00,6.775,41.619,1.055,0.772,9610,7387,NULL
2013/8/16 16:00,6.781,48.359,0.984,0.745,9530,7523,NULL
2013/8/16 17:00,6.778,47.772,1.013,0.676,1160,7472,NULL
2013/8/16 18:00,6.778,47.772,0.93,0.694,1,8337,NULL
2013/8/16 19:00,6.778,47.772,0.889,0.686,1,8559,NULL
2013/8/16 20:00,6.778,47.772,0.786,0.62,1,8286,NULL
2013/8/16 21:00,6.78,47.77,0.73,0.59,1,8346,NULL
2013/8/16 22:00,6.778,47.772,0.874,0.603,1,8330,NULL
2013/8/16 23:00,6.778,47.772,1.004,0.667,1,8161,NULL
2013/8/17 0:00,6.778,47.772,0.955,0.654,1,7362,NULL
2013/8/17 1:00,6.778,47.772,0.955,0.664,1,6748,NULL
2013/8/17 2:00,6.778,47.772,0.935,0.659,1,6202,NULL
2013/8/17 3:00,6.778,47.772,0.974,0.679,1,5765,NULL
2013/8/17 4:00,6.778,47.772,0.918,0.759,1,5712,NULL
2013/8/17 5:00,6.778,47.772,0.886,0.691,1,5878,NULL
2013/8/17 6:00,6.778,47.772,0.886,0.696,1,5895,NULL
2013/8/17 7:00,6.778,47.772,0.811,0.652,1,6874,NULL
2013/8/17 8:00,6.778,47.772,0.806,0.635,1,7499,NULL
2013/8/17 9:00,6.778,47.772,0.977,0.691,1,8095,NULL
2013/8/17 10:00,6.778,47.772,0.891,0.652,1,8499,0.24
2013/8/17 11:00,6.778,47.772,0.945,0.613,1,8939,NULL
2013/8/17 12:00,6.778,47.772,0.935,0.625,1,8410,NULL
2013/8/17 13:00,6.778,47.772,0.928,0.635,1,8271,NULL
2013/8/17 14:00,6.78,47.77,0.99,0.67,1,7948,NULL
2013/8/17 15:00,6.78,47.77,1.16,0.72,1,7634,NULL
2013/8/17 16:00,6.759,70.726,1.209,0.767,188920,7778,0.27
2013/8/17 17:00,6.8,72.13,1.08,0.75,9620,7883,NULL
2013/8/17 18:00,6.78,74.66,1.04,0.72,9680,8240,NULL
2013/8/17 19:00,6.78,78.97,1.07,0.74,9620,8920,NULL
2013/8/17 20:00,6.78,89.41,0.99,0.74,6250,8837,NULL
2013/8/17 21:00,6.78,90.45,0.92,1.64,5640,8654,NULL
2013/8/17 22:00,6.78,97.69,0.86,1.06,5670,8935,NULL
2013/8/17 23:00,6.78,124.53,0.83,0.92,7960,8156,NULL
2013/8/18 0:00,7,138.35,0.97,0.94,9700,6972,NULL
2013/8/18 1:00,7,142.63,0.93,0.9,9680,6376,NULL
2013/8/18 2:00,7,151.03,0.89,0.81,9690,5960,NULL
2013/8/18 3:00,7,152.42,0.8,0.78,6480,5728,NULL
2013/8/18 4:00,7,151.71,0.82,0.74,5620,5448,NULL
2013/8/18 5:00,7,143.51,0.79,0.65,5650,5701,NULL
2013/8/18 6:00,7,154.43,0.7,0.57,5640,5630,NULL
2013/8/18 7:00,7,158.66,0.76,0.62,5670,6732,NULL
2013/8/18 8:00,7,188.8,0.78,0.57,5720,7787,NULL
2013/8/18 9:00,6.78,149.23,0.83,0.58,5750,8425,NULL
2013/8/18 10:00,6.78,184.73,0.79,0.55,8170,8836,NULL
2013/8/18 11:00,6.78,201.38,1.16,0.74,9850,8630,NULL
2013/8/18 12:00,6.78,224.22,1.12,0.63,9820,8502,NULL
2013/8/18 13:00,6.79,228.25,1.18,0.6,9800,7934,NULL
2013/8/18 14:00,6.79,240.99,1.21,0.6,9760,7645,NULL
2013/8/18 15:00,6.8,241.92,1.25,0.61,9750,7447,NULL
2013/8/18 16:00,6.79,254.47,1.37,0.63,9740,7268,NULL
2013/8/18 17:00,6.79,253.97,1.4,0.66,9700,7422,NULL
2013/8/18 18:00,6.78,221.88,1.25,0.61,7220,8283,NULL
2013/8/18 19:00,6.79,227.72,0.99,0.52,5650,8617,NULL
2013/8/18 20:00,6.79,221.04,0.75,0.45,5650,8561,NULL
2013/8/18 21:00,6.79,257.96,0.68,0.43,7590,8448,NULL
2013/8/18 22:00,6.79,275.76,1.3,0.63,9730,8619,NULL
2013/8/18 23:00,6.79,279.03,1.54,0.66,9750,8096,NULL
2013/8/19 0:00,6.81,278.13,1.65,0.7,9760,7117,NULL
2013/8/19 1:00,6.8,300.81,1.85,0.76,9750,6461,NULL
2013/8/19 2:00,6.81,738.47,1.72,0.77,8980,5802,NULL
2013/8/19 3:00,6.81,283.77,1.23,0.61,5660,5695,NULL
2013/8/19 4:00,6.81,281.97,0.99,0.53,5660,5507,NULL
2013/8/19 5:00,6.81,290.04,0.78,0.48,5660,5801,NULL
2013/8/19 6:00,6.81,300.2,0.83,0.48,5650,5791,NULL
2013/8/19 7:00,6.82,304.26,1.07,0.55,5650,6763,NULL
2013/8/19 8:00,6.84,382.44,0.97,0.58,5710,7745,NULL
2013/8/19 9:00,6.84,379.92,0.87,0.59,5710,8341,NULL
2013/8/19 10:00,6.83,322.46,0.8,0.57,8260,8865,NULL
2013/8/19 11:00,6.83,571.31,2.12,0.83,9810,8889,NULL
2013/8/19 12:00,6.83,468.7,1.94,0.85,9850,8881,NULL
2013/8/19 13:00,6.84,474.9,2.19,0.91,9820,8669,NULL
2013/8/19 14:00,6.83,486.77,2.28,0.9,9830,7844,NULL
2013/8/19 15:00,6.8,425.69,2.47,0.98,9810,7454,NULL
2013/8/19 16:00,7.29,636.03,2.62,0.99,9790,7324,NULL
2013/8/19 17:00,7.26,663.28,2.76,2.48,9770,7907,NULL
2013/8/19 18:00,7.25,687.23,2.82,2.55,9730,8525,NULL
2013/8/19 19:00,7.23,677.98,2,1.77,8060,8872,NULL
2013/8/19 20:00,7.22,667.83,1.17,1.11,5660,9214,NULL
2013/8/19 21:00,7.21,675.82,0.93,0.89,5630,8822,NULL
2013/8/19 22:00,7.2,725.01,2.65,2.42,9240,8523,NULL
2013/8/19 23:00,7.18,722.91,3.72,3.5,9770,7907,NULL
2013/8/20 1:00,7.15,720.53,4.08,3.98,19560,14972,0.27
2013/8/20 2:00,7.15,708.9,3.96,3.86,9770,6459,1.24
2013/8/20 3:00,7.14,666.37,2.75,2.61,7120,5838,2.4
2013/8/20 4:00,7.14,653.73,2.1,1.98,5700,5540,1.81
2013/8/20 5:00,7.13,612.51,1.44,1.31,5680,5503,1.45
2013/8/20 6:00,7.13,623.46,1.14,1.05,5680,5813,1.38
2013/8/20 7:00,7.12,628.81,1.07,0.94,5660,6976,2.01
2013/8/20 8:00,7.11,701.41,1.54,1.38,6870,7872,2.03
2013/8/20 9:00,7.1,662.46,4.35,4.44,9780,8693,1.38
2013/8/20 10:00,7.09,689,3.73,3.74,9810,9023,1.33
2013/8/20 11:00,7.07,647,3.92,10,9820,8987,1.11
2013/8/20 12:00,7.06,685.83,1.94,10,7570,9044,1.11
2013/8/20 13:00,7.04,857.37,1.5,4.45,5850,8505,1.18
2013/8/20 14:00,7.02,719.04,4.22,4.37,9810,7659,0.78
2013/8/20 15:00,7.01,774.22,4.26,4.28,9800,7338,1.09
2013/8/20 16:00,7,794.41,4.8,6.16,9810,7602,1.32
2013/8/20 17:00,6.99,813.75,4.17,4.64,9780,7926,1.01
2013/8/20 18:00,6.97,807.38,5.15,4.94,7570,9044,1.2
2013/8/20 19:00,6.96,807.66,4.75,4.4,5850,8505,0.78
2013/8/20 20:00,6.95,801.94,4.65,4.39,9750,9052,0.44
2013/8/20 21:00,6.95,786.38,4.86,4.56,9710,8799,1.14
2013/8/20 22:00,6.94,779.62,5.28,4.61,9690,8629,1.62
2013/8/20 23:00,6.94,751.92,5.4,4.38,9710,8341,1.44
2013/8/21 0:00,6.93,697.49,3.3,2.97,7670,7620,0
2013/8/21 1:00,6.93,682.4,2.48,2.12,5650,6515,0.31
2013/8/21 2:00,6.93,657.53,2.3,2.02,5650,5726,0.35
2013/8/21 3:00,6.93,631.26,1.44,1.32,5690,5598,0
2013/8/21 4:00,6.93,618.3,1.37,1.35,5640,5343,0.37
2013/8/21 5:00,6.92,572.73,1.31,1.25,5610,5546,0
2013/8/21 6:00,6.92,559.12,1.28,1.19,5640,5480,0.36
2013/8/21 7:00,6.92,556.96,1.39,1.24,5620,7156,0.28
2013/8/21 8:00,6.92,565.36,4.79,4.42,9070,7650,0.26
2013/8/21 9:00,6.92,519.01,4.95,4.36,9680,8991,0.22
2013/8/21 10:00,6.91,524.88,4.6,3.97,9730,8901,0.22
2013/8/21 11:00,6.91,492.47,4.16,3.95,9740,8674,0.23
2013/8/21 12:00,6.91,482.83,4.2,3.92,9760,9118,0.22
2013/8/21 13:00,6.91,480.01,4.05,3.85,9780,8888,0.23
2013/8/21 14:00,6.91,468.2,3.71,3.73,9760,8362,0.24
2013/8/21 15:00,6.92,457.99,3.84,3.87,9750,7940,0.25
2013/8/21 16:00,6.91,441.28,3.62,3.72,9690,8140,0.25
2013/8/21 17:00,6.92,406.96,1.73,1.6,5900,8267,0.97
2013/8/21 18:00,6.91,397.92,1.21,1.49,5620,8590,0.93
2013/8/21 19:00,6.92,394.43,1.96,1.77,6720,9044,0.22
2013/8/21 20:00,6.91,389.88,3.87,3.4,9620,9418,0.21
2013/8/21 21:00,6.91,381.54,3.43,3.1,9610,9104,0.22
2013/8/21 22:00,6.9,376.01,3.24,2.9,9560,8940,0.22
2013/8/21 23:00,6.9,363.03,2.95,2.76,9600,8721,132.01
2013/8/22 0:00,6.9,356.21,2.78,2.58,9630,7902,135.83
2013/8/22 1:00,6.9,343.78,2.72,2.55,9660,7015,115.42
2013/8/22 2:00,6.91,337.62,2.57,2.2,9680,6414,120.14
2013/8/22 3:00,6.91,332.86,2.31,2.35,9680,6384,110.02
2013/8/22 4:00,6.9,306.04,1.48,1.41,5720,5901,117.83
2013/8/22 5:00,6.91,294.81,0.9,0.84,5580,5787,112.01
2013/8/22 6:00,6.91,293.29,0.79,0.79,5570,6215,120.65
2013/8/22 7:00,6.9,304.15,0.72,0.74,5530,7256,112.84
2013/8/22 8:00,6.9,301.57,0.71,0.72,5490,8092,113.84
2013/8/22 9:00,6.9,307.71,1.46,1.31,9320,8592,109.12
2013/8/22 10:00,6.89,296.26,2.13,1.99,9560,8919,106.38
2013/8/22 11:00,6.89,285.16,2.06,1.95,9640,9065,106.38
2013/8/22 12:00,6.88,244.35,2.3,2.17,9690,8788,110.01
2013/8/22 13:00,6.88,187.48,2.61,2.09,9660,8542,105.28
2013/8/22 14:00,6.88,202.74,2.51,2.04,9680,7844,115.08
2013/8/22 15:00,6.876,232.507,2.42,2.481,9670,7970,0
2013/8/22 16:00,6.88,267.17,2.55,2.5,9590,8049,111.05
2013/8/22 17:00,6.88,279.33,2.48,2.4,9300,8066,114.84
2013/8/22 18:00,6.88,279.33,2.48,2.28,10961,8419,110.48
2013/8/22 19:00,6.88,279.33,2.29,2.12,8222,8739,123.69
2013/8/22 20:00,6.88,279.33,2.09,1.86,9593,9133,110.5
2013/8/22 21:00,6.88,279.33,1.85,1.77,9554,8673,110.53
2013/8/22 22:00,6.88,279.33,1.33,1.4,9160,8845,118.01
2013/8/22 23:00,6.88,279.33,1.48,1.56,9097,8325,111.8
2013/8/23 0:00,6.88,279.33,1.34,1.46,10869,7425,89.06
2013/8/23 1:00,6.88,279.33,1.07,1.21,6448,7056,112.28
2013/8/23 2:00,6.88,279.33,0.77,0.79,5671,6154,86.93
2013/8/23 3:00,6.88,279.33,0.65,0.69,5521,6079,95.63
2013/8/23 4:00,6.88,279.33,0.68,0.72,5370,5965,107.26
2013/8/23 5:00,6.88,279.33,0.62,0.65,5657,5750,101.82
2013/8/23 6:00,6.88,279.33,0.8,0.8,5038,5807,123.86
2013/8/23 7:00,6.88,279.33,1.01,0.95,6112,6327,86.39
2013/8/23 8:00,6.88,279.33,0.91,0.87,6237,7418,115.76
2013/8/23 9:00,6.88,279.33,1.28,1.39,11109,7698,86.96
2013/8/23 10:00,6.88,279.33,1.35,1.35,11109,7698,118.54
2013/8/23 11:00,6.88,279.33,1.42,1.32,9712,8304,99.57
2013/8/23 12:00,6.82,196.09,1.49,1.36,9502,8231,95.63
2013/8/23 13:00,6.82,136.31,1.49,1.61,9298,7984,93.57
2013/8/23 14:00,6.82,122.83,1.6,1.58,9630,7392,90.34
2013/8/23 15:00,6.82,136.6,1.5,1.47,9600,7470,95.73
2013/8/23 16:00,6.82,168.24,1.53,1.52,9560,7464,91
2013/8/23 17:00,6.81,166.81,1.04,0.99,5840,7666,94.35
2013/8/23 18:00,6.81,179.2,0.75,0.8,5500,8449,69.82
2013/8/23 19:00,6.8,184.95,0.76,0.72,5460,8471,58.24
2013/8/23 20:00,6.8,174.54,0.8,0.77,6120,8743,64.54
2013/8/23 21:00,6.8,187.06,1.34,1.19,9480,8429,79.01
